terms,titles,abstracts
"['stat.ML', 'stat.TH']",Tensor Regression Using Low-rank and Sparse Tucker Decompositions,"This paper studies a tensor-structured linear regression model with a scalar
response variable and tensor-structured predictors, such that the regression
parameters form a tensor of order $d$ (i.e., a $d$-fold multiway array) in
$\mathbb{R}^{n_1 \times n_2 \times \cdots \times n_d}$. It focuses on the task
of estimating the regression tensor from $m$ realizations of the response
variable and the predictors where $m\ll n = \prod \nolimits_{i} n_i$. Despite
the seeming ill-posedness of this problem, it can still be solved if the
parameter tensor belongs to the space of sparse, low Tucker-rank tensors.
Accordingly, the estimation procedure is posed as a non-convex optimization
program over the space of sparse, low Tucker-rank tensors, and a tensor variant
of projected gradient descent is proposed to solve the resulting non-convex
problem. In addition, mathematical guarantees are provided that establish the
proposed method linearly converges to an appropriate solution under a certain
set of conditions. Further, an upper bound on sample complexity of tensor
parameter estimation for the model under consideration is characterized for the
special case when the individual (scalar) predictors independently draw values
from a sub-Gaussian distribution. The sample complexity bound is shown to have
a polylogarithmic dependence on $\bar{n} = \max \big\{n_i: i\in \{1,2,\ldots,d
\} \big\}$ and, orderwise, it matches the bound one can obtain from a heuristic
parameter counting argument. Finally, numerical experiments demonstrate the
efficacy of the proposed tensor model and estimation method on a synthetic
dataset and a collection of neuroimaging datasets pertaining to attention
deficit hyperactivity disorder. Specifically, the proposed method exhibits
better sample complexities on both synthetic and real datasets, demonstrating
the usefulness of the model and the method in settings where $n \gg m$."
"['stat.ML', 'stat.TH']",Optimal Rates of Distributed Regression with Imperfect Kernels,"Distributed machine learning systems have been receiving increasing
attentions for their efficiency to process large scale data. Many distributed
frameworks have been proposed for different machine learning tasks. In this
paper, we study the distributed kernel regression via the divide and conquer
approach. This approach has been proved asymptotically minimax optimal if the
kernel is perfectly selected so that the true regression function lies in the
associated reproducing kernel Hilbert space. However, this is usually, if not
always, impractical because kernels that can only be selected via prior
knowledge or a tuning process are hardly perfect. Instead it is more common
that the kernel is good enough but imperfect in the sense that the true
regression can be well approximated by but does not lie exactly in the kernel
space. We show distributed kernel regression can still achieves capacity
independent optimal rate in this case. To this end, we first establish a
general framework that allows to analyze distributed regression with response
weighted base algorithms by bounding the error of such algorithms on a single
data set, provided that the error bounds has factored the impact of the
unexplained variance of the response variable. Then we perform a leave one out
analysis of the kernel ridge regression and bias corrected kernel ridge
regression, which in combination with the aforementioned framework allows us to
derive sharp error bounds and capacity independent optimal rates for the
associated distributed kernel regression algorithms. As a byproduct of the
thorough analysis, we also prove the kernel ridge regression can achieve rates
faster than $N^{-1}$ (where $N$ is the sample size) in the noise free setting
which, to our best knowledge, are first observed and novel in regression
learning."
"['stat.ML', 'stat.CO']",Forecasting with time series imaging,"Feature-based time series representations have attracted substantial
attention in a wide range of time series analysis methods. Recently, the use of
time series features for forecast model averaging has been an emerging research
focus in the forecasting community. Nonetheless, most of the existing
approaches depend on the manual choice of an appropriate set of features.
Exploiting machine learning methods to extract features from time series
automatically becomes crucial in state-of-the-art time series analysis. In this
paper, we introduce an automated approach to extract time series features based
on time series imaging. We first transform time series into recurrence plots,
from which local features can be extracted using computer vision algorithms.
The extracted features are used for forecast model averaging. Our experiments
show that forecasting based on automatically extracted features, with less
human intervention and a more comprehensive view of the raw time series data,
yields highly comparable performances with the best methods in the largest
forecasting competition dataset (M4) and outperforms the top methods in the
Tourism forecasting competition dataset."
"['stat.ML', 'stat.ME']",An Evaluation of Change Point Detection Algorithms,"Change point detection is an important part of time series analysis, as the
presence of a change point indicates an abrupt and significant change in the
data generating process. While many algorithms for change point detection
exist, little attention has been paid to evaluating their performance on
real-world time series. Algorithms are typically evaluated on simulated data
and a small number of commonly-used series with unreliable ground truth.
Clearly this does not provide sufficient insight into the comparative
performance of these algorithms. Therefore, instead of developing yet another
change point detection method, we consider it vastly more important to properly
evaluate existing algorithms on real-world data. To achieve this, we present
the first data set specifically designed for the evaluation of change point
detection algorithms, consisting of 37 time series from various domains. Each
time series was annotated by five expert human annotators to provide ground
truth on the presence and location of change points. We analyze the consistency
of the human annotators, and describe evaluation metrics that can be used to
measure algorithm performance in the presence of multiple ground truth
annotations. Subsequently, we present a benchmark study where 14 existing
algorithms are evaluated on each of the time series in the data set. This study
shows that binary segmentation (Scott and Knott, 1974) and Bayesian online
change point detection (Adams and MacKay, 2007) are among the best performing
methods. Our aim is that this data set will serve as a proving ground in the
development of novel change point detection algorithms."
"['stat.ME', 'stat.ML']",Deep Neural Network in Cusp Catastrophe Model,"Catastrophe theory was originally proposed to study dynamical systems that
exhibit sudden shifts in behavior arising from small changes in input. These
models can generate reasonable explanation behind abrupt jumps in nonlinear
dynamic models. Among the different catastrophe models, the Cusp Catastrophe
model attracted the most attention due to it's relatively simpler dynamics and
rich domain of application. Due to the complex behavior of the response, the
parameter space becomes highly non-convex and hence it becomes very hard to
optimize to figure out the generating parameters. Instead of solving for these
generating parameters, we demonstrated how a Machine learning model can be
trained to learn the dynamics of the Cusp catastrophe models, without ever
really solving for the generating model parameters. Simulation studies and
application on a few famous datasets are used to validate our approach. To our
knowledge, this is the first paper of such kind where a neural network based
approach has been applied in Cusp Catastrophe model."
"['stat.ML', 'stat.TH']",Transport Gaussian Processes for Regression,"Gaussian process (GP) priors are non-parametric generative models with
appealing modelling properties for Bayesian inference: they can model
non-linear relationships through noisy observations, have closed-form
expressions for training and inference, and are governed by interpretable
hyperparameters. However, GP models rely on Gaussianity, an assumption that
does not hold in several real-world scenarios, e.g., when observations are
bounded or have extreme-value dependencies, a natural phenomenon in physics,
finance and social sciences. Although beyond-Gaussian stochastic processes have
caught the attention of the GP community, a principled definition and rigorous
treatment is still lacking. In this regard, we propose a methodology to
construct stochastic processes, which include GPs, warped GPs, Student-t
processes and several others under a single unified approach. We also provide
formulas and algorithms for training and inference of the proposed models in
the regression problem. Our approach is inspired by layers-based models, where
each proposed layer changes a specific property over the generated stochastic
process. That, in turn, allows us to push-forward a standard Gaussian white
noise prior towards other more expressive stochastic processes, for which
marginals and copulas need not be Gaussian, while retaining the appealing
properties of GPs. We validate the proposed model through experiments with
real-world data."
"['stat.ME', 'stat.ML']",Economy Statistical Recurrent Units For Inferring Nonlinear Granger Causality,"Granger causality is a widely-used criterion for analyzing interactions in
large-scale networks. As most physical interactions are inherently nonlinear,
we consider the problem of inferring the existence of pairwise Granger
causality between nonlinearly interacting stochastic processes from their time
series measurements. Our proposed approach relies on modeling the embedded
nonlinearities in the measurements using a component-wise time series
prediction model based on Statistical Recurrent Units (SRUs). We make a case
that the network topology of Granger causal relations is directly inferrable
from a structured sparse estimate of the internal parameters of the SRU
networks trained to predict the processes$'$ time series measurements. We
propose a variant of SRU, called economy-SRU, which, by design has considerably
fewer trainable parameters, and therefore less prone to overfitting. The
economy-SRU computes a low-dimensional sketch of its high-dimensional hidden
state in the form of random projections to generate the feedback for its
recurrent processing. Additionally, the internal weight parameters of the
economy-SRU are strategically regularized in a group-wise manner to facilitate
the proposed network in extracting meaningful predictive features that are
highly time-localized to mimic real-world causal events. Extensive experiments
are carried out to demonstrate that the proposed economy-SRU based time series
prediction model outperforms the MLP, LSTM and attention-gated CNN-based time
series models considered previously for inferring Granger causality."
"['stat.ML', 'stat.TH']",Regression from Dependent Observations,"The standard linear and logistic regression models assume that the response
variables are independent, but share the same linear relationship to their
corresponding vectors of covariates. The assumption that the response variables
are independent is, however, too strong. In many applications, these responses
are collected on nodes of a network, or some spatial or temporal domain, and
are dependent. Examples abound in financial and meteorological applications,
and dependencies naturally arise in social networks through peer effects.
Regression with dependent responses has thus received a lot of attention in the
Statistics and Economics literature, but there are no strong consistency
results unless multiple independent samples of the vectors of dependent
responses can be collected from these models. We present computationally and
statistically efficient methods for linear and logistic regression models when
the response variables are dependent on a network. Given one sample from a
networked linear or logistic regression model and under mild assumptions, we
prove strong consistency results for recovering the vector of coefficients and
the strength of the dependencies, recovering the rates of standard regression
under independent observations. We use projected gradient descent on the
negative log-likelihood, or negative log-pseudolikelihood, and establish their
strong convexity and consistency using concentration of measure for dependent
random variables."
"['stat.ML', 'stat.TH']",Inference for multiple object tracking: A Bayesian nonparametric approach,"In recent years, multi object tracking (MOT) problem has drawn attention to
it and has been studied in various research areas. However, some of the
challenging problems including time dependent cardinality, unordered
measurement set, and object labeling remain unclear. In this paper, we propose
robust nonparametric methods to model the state prior for MOT problem. These
models are shown to be more flexible and robust compared to existing methods.
In particular, the overall approach estimates time dependent object
cardinality, provides object labeling, and identifies object associated
measurements. Moreover, our proposed framework dynamically contends with the
birth/death and survival of the objects through dependent nonparametric
processes. We present Inference algorithms that demonstrate the utility of the
dependent nonparametric models for tracking. We employ Monte Carlo sampling
methods to demonstrate the proposed algorithms efficiently learn the trajectory
of objects from noisy measurements. The computational results display the
performance of the proposed algorithms and comparison not only between one
another, but also between proposed algorithms and labeled multi Bernoulli
tracker."
"['stat.ML', 'stat.CO']",A stochastic alternating minimizing method for sparse phase retrieval,"Sparse phase retrieval plays an important role in many fields of applied
science and thus attracts lots of attention. In this paper, we propose a
\underline{sto}chastic alte\underline{r}nating \underline{m}inimizing method
for \underline{sp}arse ph\underline{a}se \underline{r}etrieval
(\textit{StormSpar}) algorithm which {emprically} is able to recover
$n$-dimensional $s$-sparse signals from only $O(s\,\mathrm{log}\, n)$ number of
measurements without a desired initial value required by many existing methods.
In \textit{StormSpar}, the hard-thresholding pursuit (HTP) algorithm is
employed to solve the sparse constraint least square sub-problems. The main
competitive feature of \textit{StormSpar} is that it converges globally
requiring optimal order of number of samples with random initialization.
Extensive numerical experiments are given to validate the proposed algorithm."
"['stat.ML', 'stat.ME']",Benchmarking Minimax Linkage,"Minimax linkage was first introduced by Ao et al. [3] in 2004, as an
alternative to standard linkage methods used in hierarchical clustering.
Minimax linkage relies on distances to a prototype for each cluster; this
prototype can be thought of as a representative object in the cluster, hence
improving the interpretability of clustering results. Bien and Tibshirani
analyzed properties of this method in 2011 [2], popularizing the method within
the statistics community. Additionally, they performed comparisons of minimax
linkage to standard linkage methods, making use of five data sets and two
different evaluation metrics (distance to prototype and misclassification
rate). In an effort to expand upon their work and evaluate minimax linkage more
comprehensively, our benchmark study focuses on thorough method evaluation via
multiple performance metrics on several well-described data sets. We also make
all code and data publicly available through an R package, for full
reproducibility. Similarly to [2], we find that minimax linkage often produces
the smallest maximum minimax radius of all linkage methods, meaning that
minimax linkage produces clusters where objects in a cluster are tightly
clustered around their prototype. This is true across a range of values for the
total number of clusters (k). However, this is not always the case, and special
attention should be paid to the case when k is the true known value. For true
k, minimax linkage does not always perform the best in terms of all the
evaluation metrics studied, including maximum minimax radius. This paper was
motivated by the IFCS Cluster Benchmarking Task Force's call for clustering
benchmark studies and the white paper [5], which put forth guidelines and
principles for comprehensive benchmarking in clustering. Our work is designed
to be a neutral benchmark study of minimax linkage."
"['stat.ML', 'stat.CO', 'stat.ME']",Combining Model and Parameter Uncertainty in Bayesian Neural Networks,"Bayesian neural networks (BNNs) have recently regained a significant amount
of attention in the deep learning community due to the development of scalable
approximate Bayesian inference techniques. There are several advantages of
using Bayesian approach: Parameter and prediction uncertainty become easily
available, facilitating rigid statistical analysis. Furthermore, prior
knowledge can be incorporated. However so far there have been no scalable
techniques capable of combining both model (structural) and parameter
uncertainty. In this paper we introduce the concept of model uncertainty in
BNNs and hence make inference in the joint space of models and parameters.
Moreover, we suggest an adaptation of a scalable variational inference approach
with reparametrization of marginal inclusion probabilities to incorporate the
model space constraints. Finally, we show that incorporating model uncertainty
via Bayesian model averaging and Bayesian model selection allows to drastically
sparsify the structure of BNNs."
"['stat.ML', 'stat.CO', 'stat.ME']",Variational approximations using Fisher divergence,"Modern applications of Bayesian inference involve models that are
sufficiently complex that the corresponding posterior distributions are
intractable and must be approximated. The most common approximation is based on
Markov chain Monte Carlo, but these can be expensive when the data set is large
and/or the model is complex, so more efficient variational approximations have
recently received considerable attention. The traditional variational methods,
that seek to minimize the Kullback--Leibler divergence between the posterior
and a relatively simple parametric family, provide accurate and efficient
estimation of the posterior mean, but often does not capture other moments, and
have limitations in terms of the models to which they can be applied. Here we
propose the construction of variational approximations based on minimizing the
Fisher divergence, and develop an efficient computational algorithm that can be
applied to a wide range of models without conjugacy or potentially unrealistic
mean-field assumptions. We demonstrate the superior performance of the proposed
method for the benchmark case of logistic regression."
"['stat.ML', 'stat.ME']",A Method for Robust Online Classification using Dictionary Learning: Development and Assessment for Monitoring Manual Material Handling Activities Using Wearable Sensors,"Classification methods based on sparse estimation have drawn much attention
recently, due to their effectiveness in processing high-dimensional data such
as images. In this paper, a method to improve the performance of a sparse
representation classification (SRC) approach is proposed; it is then applied to
the problem of online process monitoring of human workers, specifically manual
material handling (MMH) operations monitored using wearable sensors (involving
111 sensor channels). Our proposed method optimizes the design matrix (aka
dictionary) in the linear model used for SRC, minimizing its ill-posedness to
achieve a sparse solution. This procedure is based on the idea of dictionary
learning (DL): we optimize the design matrix formed by training datasets to
minimize both redundancy and coherency as well as reducing the size of these
datasets. Use of such optimized training data can subsequently improve
classification accuracy and help decrease the computational time needed for the
SRC; it is thus more applicable for online process monitoring. Performance of
the proposed methodology is demonstrated using wearable sensor data obtained
from manual material handling experiments, and is found to be superior to those
of benchmark methods in terms of accuracy, while also requiring computational
time appropriate for MMH online monitoring."
['stat.TH'],Statistical Learning Guarantees for Compressive Clustering and Compressive Mixture Modeling,"We provide statistical learning guarantees for two unsupervised learning
tasks in the context of compressive statistical learning, a general framework
for resource-efficient large-scale learning that we introduced in a companion
paper.The principle of compressive statistical learning is to compress a
training collection, in one pass, into a low-dimensional sketch (a vector of
random empirical generalized moments) that captures the information relevant to
the considered learning task. We explicitly describe and analyze random feature
functions which empirical averages preserve the needed information for
compressive clustering and compressive Gaussian mixture modeling with fixed
known variance, and establish sufficient sketch sizes given the problem
dimensions."
"['stat.ML', 'stat.CO']",IGANI: Iterative Generative Adversarial Networks for Imputation with Application to Traffic Data,"Increasing use of sensor data in intelligent transportation systems calls for
accurate imputation algorithms that can enable reliable traffic management in
the occasional absence of data. As one of the effective imputation approaches,
generative adversarial networks (GANs) are implicit generative models that can
be used for data imputation, which is formulated as an unsupervised learning
problem. This work introduces a novel iterative GAN architecture, called
Iterative Generative Adversarial Networks for Imputation (IGANI), for data
imputation. IGANI imputes data in two steps and maintains the invertibility of
the generative imputer, which will be shown to be a sufficient condition for
the convergence of the proposed GAN-based imputation. The performance of our
proposed method is evaluated on (1) the imputation of traffic speed data
collected in the city of Guangzhou in China, and the training of short-term
traffic prediction models using imputed data, and (2) the imputation of
multi-variable traffic data of highways in Portland-Vancouver metropolitan
region which includes volume, occupancy, and speed with different missing rates
for each of them. It is shown that our proposed algorithm mostly produces more
accurate results compared to those of previous GAN-based imputation
architectures."
['stat.ME'],Capturing patterns of variation unique to a specific dataset,"Capturing patterns of variation present in a dataset is important in
exploratory data analysis and unsupervised learning. Contrastive dimension
reduction methods, such as contrastive principal component analysis (cPCA),
find patterns unique to a target dataset of interest by contrasting with a
carefully chosen background dataset representing unwanted or uninteresting
variation. However, such methods typically require a tuning parameter that
governs the level of contrast, and it is unclear how to choose this parameter
objectively. Furthermore, it is frequently of interest to contrast against
multiple backgrounds, which is difficult to accomplish with existing methods.
We propose unique component analysis (UCA), a tuning-free method that
identifies low-dimensional representations of a target dataset relative to one
or more comparison datasets. It is computationally efficient even with large
numbers of features. We show in several experiments that UCA with a single
background dataset achieves similar results compared to cPCA with various
tuning parameters, and that UCA with multiple individual background datasets is
superior to both cPCA with any single background data and cPCA with a pooled
background dataset."
"['stat.ML', 'stat.TH']",Analysis of feature learning in weight-tied autoencoders via the mean field lens,"Autoencoders are among the earliest introduced nonlinear models for
unsupervised learning. Although they are widely adopted beyond research, it has
been a longstanding open problem to understand mathematically the feature
extraction mechanism that trained nonlinear autoencoders provide.
  In this work, we make progress in this problem by analyzing a class of
two-layer weight-tied nonlinear autoencoders in the mean field framework. Upon
a suitable scaling, in the regime of a large number of neurons, the models
trained with stochastic gradient descent are shown to admit a mean field
limiting dynamics. This limiting description reveals an asymptotically precise
picture of feature learning by these models: their training dynamics exhibit
different phases that correspond to the learning of different principal
subspaces of the data, with varying degrees of nonlinear shrinkage dependent on
the $\ell_{2}$-regularization and stopping time. While we prove these results
under an idealized assumption of (correlated) Gaussian data, experiments on
real-life data demonstrate an interesting match with the theory.
  The autoencoder setup of interests poses a nontrivial mathematical challenge
to proving these results. In this setup, the ""Lipschitz"" constants of the
models grow with the data dimension $d$. Consequently an adaptation of previous
analyses requires a number of neurons $N$ that is at least exponential in $d$.
Our main technical contribution is a new argument which proves that the
required $N$ is only polynomial in $d$. We conjecture that $N\gg d$ is
sufficient and that $N$ is necessarily larger than a data-dependent intrinsic
dimension, a behavior that is fundamentally different from previously studied
setups."
"['stat.ML', 'stat.ME']",Generative Models and Model Criticism via Optimized Maximum Mean Discrepancy,"We propose a method to optimize the representation and distinguishability of
samples from two probability distributions, by maximizing the estimated power
of a statistical test based on the maximum mean discrepancy (MMD). This
optimized MMD is applied to the setting of unsupervised learning by generative
adversarial networks (GAN), in which a model attempts to generate realistic
samples, and a discriminator attempts to tell these apart from data samples. In
this context, the MMD may be used in two roles: first, as a discriminator,
either directly on the samples, or on features of the samples. Second, the MMD
can be used to evaluate the performance of a generative model, by testing the
model's samples against a reference data set. In the latter role, the optimized
MMD is particularly helpful, as it gives an interpretable indication of how the
model and data distributions differ, even in cases where individual model
samples are not easily distinguished either by eye or by classifier."
['stat.TH'],Non-parametric Models for Non-negative Functions,"Linear models have shown great effectiveness and flexibility in many fields
such as machine learning, signal processing and statistics. They can represent
rich spaces of functions while preserving the convexity of the optimization
problems where they are used, and are simple to evaluate, differentiate and
integrate. However, for modeling non-negative functions, which are crucial for
unsupervised learning, density estimation, or non-parametric Bayesian methods,
linear models are not applicable directly. Moreover, current state-of-the-art
models like generalized linear models either lead to non-convex optimization
problems, or cannot be easily integrated. In this paper we provide the first
model for non-negative functions which benefits from the same good properties
of linear models. In particular, we prove that it admits a representer theorem
and provide an efficient dual formulation for convex problems. We study its
representation power, showing that the resulting space of functions is strictly
richer than that of generalized linear models. Finally we extend the model and
the theoretical results to functions with outputs in convex cones. The paper is
complemented by an experimental evaluation of the model showing its
effectiveness in terms of formulation, algorithmic derivation and practical
results on the problems of density estimation, regression with heteroscedastic
errors, and multiple quantile regression."
"['stat.ML', 'stat.TH']",Structures of Spurious Local Minima in $k$-means,"$k$-means clustering is a fundamental problem in unsupervised learning. The
problem concerns finding a partition of the data points into $k$ clusters such
that the within-cluster variation is minimized. Despite its importance and wide
applicability, a theoretical understanding of the $k$-means problem has not
been completely satisfactory. Existing algorithms with theoretical performance
guarantees often rely on sophisticated (sometimes artificial) algorithmic
techniques and restricted assumptions on the data. The main challenge lies in
the non-convex nature of the problem; in particular, there exist additional
local solutions other than the global optimum. Moreover, the simplest and most
popular algorithm for $k$-means, namely Lloyd's algorithm, generally converges
to such spurious local solutions both in theory and in practice.
  In this paper, we approach the $k$-means problem from a new perspective, by
investigating the structures of these spurious local solutions under a
probabilistic generative model with $k$ ground truth clusters. As soon as
$k=3$, spurious local minima provably exist, even for well-separated and
balanced clusters. One such local minimum puts two centers at one true cluster,
and the third center in the middle of the other two true clusters. For general
$k$, one local minimum puts multiple centers at a true cluster, and one center
in the middle of multiple true clusters. Perhaps surprisingly, we prove that
this is essentially the only type of spurious local minima under a separation
condition. Our results pertain to the $k$-means formulation for mixtures of
Gaussians or bounded distributions. Our theoretical results corroborate
existing empirical observations and provide justification for several improved
algorithms for $k$-means clustering."
"['stat.ML', 'stat.TH']",A Unified Framework for Tuning Hyperparameters in Clustering Problems,"Selecting hyperparameters for unsupervised learning problems is challenging
in general due to the lack of ground truth for validation. Despite the
prevalence of this issue in statistics and machine learning, especially in
clustering problems, there are not many methods for tuning these
hyperparameters with theoretical guarantees. In this paper, we provide a
framework with provable guarantees for selecting hyperparameters in a number of
distinct models. We consider both the subgaussian mixture model and network
models to serve as examples of i.i.d. and non-i.i.d. data. We demonstrate that
the same framework can be used to choose the Lagrange multipliers of penalty
terms in semi-definite programming (SDP) relaxations for community detection,
and the bandwidth parameter for constructing kernel similarity matrices for
spectral clustering. By incorporating a cross-validation procedure, we show the
framework can also do consistent model selection for network models. Using a
variety of simulated and real data examples, we show that our framework
outperforms other widely used tuning procedures in a broad range of parameter
settings."
"['stat.ML', 'stat.ME']",Prescribed Generative Adversarial Networks,"Generative adversarial networks (GANs) are a powerful approach to
unsupervised learning. They have achieved state-of-the-art performance in the
image domain. However, GANs are limited in two ways. They often learn
distributions with low support---a phenomenon known as mode collapse---and they
do not guarantee the existence of a probability density, which makes evaluating
generalization using predictive log-likelihood impossible. In this paper, we
develop the prescribed GAN (PresGAN) to address these shortcomings. PresGANs
add noise to the output of a density network and optimize an
entropy-regularized adversarial loss. The added noise renders tractable
approximations of the predictive log-likelihood and stabilizes the training
procedure. The entropy regularizer encourages PresGANs to capture all the modes
of the data distribution. Fitting PresGANs involves computing the intractable
gradients of the entropy regularization term; PresGANs sidestep this
intractability using unbiased stochastic estimates. We evaluate PresGANs on
several datasets and found they mitigate mode collapse and generate samples
with high perceptual quality. We further found that PresGANs reduce the gap in
performance in terms of predictive log-likelihood between traditional GANs and
variational autoencoders (VAEs)."
"['stat.ML', 'stat.TH']",Statistical Analysis of Nearest Neighbor Methods for Anomaly Detection,"Nearest-neighbor (NN) procedures are well studied and widely used in both
supervised and unsupervised learning problems. In this paper we are concerned
with investigating the performance of NN-based methods for anomaly detection.
We first show through extensive simulations that NN methods compare favorably
to some of the other state-of-the-art algorithms for anomaly detection based on
a set of benchmark synthetic datasets. We further consider the performance of
NN methods on real datasets, and relate it to the dimensionality of the
problem. Next, we analyze the theoretical properties of NN-methods for anomaly
detection by studying a more general quantity called distance-to-measure (DTM),
originally developed in the literature on robust geometric and topological
inference. We provide finite-sample uniform guarantees for the empirical DTM
and use them to derive misclassification rates for anomalous observations under
various settings. In our analysis we rely on Huber's contamination model and
formulate mild geometric regularity assumptions on the underlying distribution
of the data."
"['stat.ML', 'stat.CO']",Nonparametric Density Estimation for High-Dimensional Data - Algorithms and Applications,"Density Estimation is one of the central areas of statistics whose purpose is
to estimate the probability density function underlying the observed data. It
serves as a building block for many tasks in statistical inference,
visualization, and machine learning. Density Estimation is widely adopted in
the domain of unsupervised learning especially for the application of
clustering. As big data become pervasive in almost every area of data sciences,
analyzing high-dimensional data that have many features and variables appears
to be a major focus in both academia and industry. High-dimensional data pose
challenges not only from the theoretical aspects of statistical inference, but
also from the algorithmic/computational considerations of machine learning and
data analytics. This paper reviews a collection of selected nonparametric
density estimation algorithms for high-dimensional data, some of them are
recently published and provide interesting mathematical insights. The important
application domain of nonparametric density estimation, such as { modal
clustering}, are also included in this paper. Several research directions
related to density estimation and high-dimensional data analysis are suggested
by the authors."
"['stat.ME', 'stat.ML']",A Bayesian Perspective of Statistical Machine Learning for Big Data,"Statistical Machine Learning (SML) refers to a body of algorithms and methods
by which computers are allowed to discover important features of input data
sets which are often very large in size. The very task of feature discovery
from data is essentially the meaning of the keyword `learning' in SML.
Theoretical justifications for the effectiveness of the SML algorithms are
underpinned by sound principles from different disciplines, such as Computer
Science and Statistics. The theoretical underpinnings particularly justified by
statistical inference methods are together termed as statistical learning
theory.
  This paper provides a review of SML from a Bayesian decision theoretic point
of view -- where we argue that many SML techniques are closely connected to
making inference by using the so called Bayesian paradigm. We discuss many
important SML techniques such as supervised and unsupervised learning, deep
learning, online learning and Gaussian processes especially in the context of
very large data sets where these are often employed. We present a dictionary
which maps the key concepts of SML from Computer Science and Statistics. We
illustrate the SML techniques with three moderately large data sets where we
also discuss many practical implementation issues. Thus the review is
especially targeted at statisticians and computer scientists who are aspiring
to understand and apply SML for moderately large to big data sets."
"['stat.ML', 'stat.ME']",Provable Estimation of the Number of Blocks in Block Models,"Community detection is a fundamental unsupervised learning problem for
unlabeled networks which has a broad range of applications. Many community
detection algorithms assume that the number of clusters $r$ is known apriori.
In this paper, we propose an approach based on semi-definite relaxations, which
does not require prior knowledge of model parameters like many existing convex
relaxation methods and recovers the number of clusters and the clustering
matrix exactly under a broad parameter regime, with probability tending to one.
On a variety of simulated and real data experiments, we show that the proposed
method often outperforms state-of-the-art techniques for estimating the number
of clusters."
"['stat.ML', 'stat.TH']",Simultaneous Clustering and Estimation of Heterogeneous Graphical Models,"We consider joint estimation of multiple graphical models arising from
heterogeneous and high-dimensional observations. Unlike most previous
approaches which assume that the cluster structure is given in advance, an
appealing feature of our method is to learn cluster structure while estimating
heterogeneous graphical models. This is achieved via a high dimensional version
of Expectation Conditional Maximization (ECM) algorithm (Meng and Rubin, 1993).
A joint graphical lasso penalty is imposed on the conditional maximization step
to extract both homogeneity and heterogeneity components across all clusters.
Our algorithm is computationally efficient due to fast sparse learning routines
and can be implemented without unsupervised learning knowledge. The superior
performance of our method is demonstrated by extensive experiments and its
application to a Glioblastoma cancer dataset reveals some new insights in
understanding the Glioblastoma cancer. In theory, a non-asymptotic error bound
is established for the output directly from our high dimensional ECM algorithm,
and it consists of two quantities: statistical error (statistical accuracy) and
optimization error (computational complexity). Such a result gives a
theoretical guideline in terminating our ECM iterations."
"['stat.ML', 'stat.CO']",The Variational Gaussian Process,"Variational inference is a powerful tool for approximate inference, and it
has been recently applied for representation learning with deep generative
models. We develop the variational Gaussian process (VGP), a Bayesian
nonparametric variational family, which adapts its shape to match complex
posterior distributions. The VGP generates approximate posterior samples by
generating latent inputs and warping them through random non-linear mappings;
the distribution over random mappings is learned during inference, enabling the
transformed outputs to adapt to varying complexity. We prove a universal
approximation theorem for the VGP, demonstrating its representative power for
learning any model. For inference we present a variational objective inspired
by auto-encoders and perform black box inference over a wide class of models.
The VGP achieves new state-of-the-art results for unsupervised learning,
inferring models such as the deep latent Gaussian model and the recently
proposed DRAW."
"['stat.ML', 'stat.ME']",SparseCodePicking: feature extraction in mass spectrometry using sparse coding algorithms,"Mass spectrometry (MS) is an important technique for chemical profiling which
calculates for a sample a high dimensional histogram-like spectrum. A crucial
step of MS data processing is the peak picking which selects peaks containing
information about molecules with high concentrations which are of interest in
an MS investigation. We present a new procedure of the peak picking based on a
sparse coding algorithm. Given a set of spectra of different classes, i.e. with
different positions and heights of the peaks, this procedure can extract peaks
by means of unsupervised learning. Instead of an $l_1$-regularization penalty
term used in the original sparse coding algorithm we propose using an
elastic-net penalty term for better regularization. The evaluation is done by
means of simulation. We show that for a large region of parameters the proposed
peak picking method based on the sparse coding features outperforms a mean
spectrum-based method. Moreover, we demonstrate the procedure applying it to
two real-life datasets."
"['stat.ML', 'stat.TH']",Fit without fear: remarkable mathematical phenomena of deep learning through the prism of interpolation,"In the past decade the mathematical theory of machine learning has lagged far
behind the triumphs of deep neural networks on practical challenges. However,
the gap between theory and practice is gradually starting to close. In this
paper I will attempt to assemble some pieces of the remarkable and still
incomplete mathematical mosaic emerging from the efforts to understand the
foundations of deep learning. The two key themes will be interpolation, and its
sibling, over-parameterization. Interpolation corresponds to fitting data, even
noisy data, exactly. Over-parameterization enables interpolation and provides
flexibility to select a right interpolating model.
  As we will see, just as a physical prism separates colors mixed within a ray
of light, the figurative prism of interpolation helps to disentangle
generalization and optimization properties within the complex picture of modern
Machine Learning. This article is written with belief and hope that clearer
understanding of these issues brings us a step closer toward a general theory
of deep learning and machine learning."
